db,company,rowid,legacy_id,client,nfs,nfd,orcamento,data_fat_raw,data_venc_raw,amount,status,issue_original,due_original,issue_corrected,due_corrected,valid_original,expense_copy,total_summary,intercompany,recoverable,repair_rule,action
banco_empresa.db,universo_eletronica,43,43,SSM,-,-,-,---,---,1000.0,PAGO,,,,,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,54,54,CORR PLASTIK,580,SNF,3023,---,05/07/2024,21000.0,PAGO,,2024-07-05,,2024-07-05,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,55,55,CORR PLASTIK,580,SNF,3023,---,05/07/2024,21000.0,PAGO,,2024-07-05,,2024-07-05,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,64,64,SSM,-,-,-,---,05/04/2024,1000.0,PAGO,,2024-04-05,,2024-04-05,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,69,69,PJ Cabos de vassoura,SNF,SNF,4161,---,19/04/2024,200.0,PAGO,,2024-04-19,,2024-04-19,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,75,75,SSM,-,-,-,---,24/04/2024,1000.0,PAGO,,2024-04-24,,2024-04-24,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,121,121,DENSO,637,815,5291,---,02/07/2024,7000.0,PAGO,,2024-07-02,,2024-07-02,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,247,247,CORR PLASTIK,746,SNF,10525,---,26/12/2024,4750.0,PAGO,,2024-12-26,,2024-12-26,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,248,248,CORR PLASTIK,746,SNF,10525,---,10/01/2025,4750.0,PAGO,,2025-01-10,,2025-01-10,False,False,False,False,False,,manual_review
banco_empresa.db,universo_eletronica,372,372,UNIVERSO AUTOMAÇÃO,-,-,-,---,24/04/2025,50000.0,PAGO,,2025-04-24,,2025-04-24,False,False,False,True,False,,manual_review
banco_empresa.db,universo_eletronica,634,634,ALTEMAR,SNF,SNF,COMPRA DE CAPACITOR - DIMAS,---,18/02/2026,1300.0,PAGO,,2026-02-18,,2026-02-18,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,6,6,CORURIPE,10,5,-,---,10/11/2023,12866.88,PAGO,,2023-11-10,,2023-11-10,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,19,19,CORURIPE,22,SNF,-,---,10/01/2024,33000.0,PAGO,,2024-01-10,,2024-01-10,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,29,29,USINA UTINGA LEÃO,-,-,-,---,20/12/2023,7600.0,PAGO,,2023-12-20,,2023-12-20,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,58,58,VISE,SNF,SNF,14935,---,---,2750.0,PAGO,,,,,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,197,197,ALBERTO S/A,179,SNF,14986,---,17/03/2025,2500.0,PAGO,,2025-03-17,,2025-03-17,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,198,198,ALBERTO S/A,179,SNF,14986,---,21/04/2025,2500.0,PAGO,,2025-04-21,,2025-04-21,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,231,231,USINA CUCAU,SNF,235,14839 / 14839,---,07/07/2025,5000.0,PAGO,,2025-07-07,,2025-07-07,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,238,238,USINA CUCAU,SNF,235,14839 / 14839,---,25/07/2025,5000.0,PAGO,,2025-07-25,,2025-07-25,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,324,324,CLM,SNF,SNF,VENDA,---,09/07/2025,1900.0,PAGO,,2025-07-09,,2025-07-09,False,False,False,False,False,,manual_review
banco_automacao.db,universo_automacao,326,326,CLM,SNF,SNF,VENDA,---,10/07/2025,1200.0,PAGO,,2025-07-10,,2025-07-10,False,False,False,False,False,,manual_review
