company,period,orig_income,orig_expense,corr_expense,income_corrected_v2,internal_transfer_in_income,net_corrected_v2
solucoes_eletronica,2026-03,23750.0,0.0,0.0,23750.0,0.0,23750.0
solucoes_eletronica,2026-04,7487.0,12354.0,12354.0,7487.0,0.0,-4867.0
solucoes_eletronica,2026-05,36137.5,6421.0,6421.0,36137.5,0.0,29716.5
solucoes_eletronica,2026-06,5000.0,11400.0,11400.0,5000.0,0.0,-6400.0
solucoes_eletronica,2026-07,2185.0,0.0,0.0,2185.0,0.0,2185.0
solucoes_eletronica,2026-08,2465.0,4000.0,4000.0,2465.0,0.0,-1535.0
universo_automacao,2022-06,2500.0,0.0,0.0,2500.0,0.0,2500.0
universo_automacao,2023-08,2500.0,0.0,0.0,2500.0,0.0,2500.0
universo_automacao,2023-09,19900.0,0.0,0.0,22356.83,0.0,22356.83
universo_automacao,2023-10,12500.0,0.0,0.0,12500.0,0.0,12500.0
universo_automacao,2023-11,218153.9,0.0,0.0,218153.9,0.0,218153.9
universo_automacao,2023-12,90878.05,0.0,0.0,90878.05,0.0,90878.05
universo_automacao,2024-01,64350.0,0.0,0.0,64350.0,0.0,64350.0
universo_automacao,2024-02,155992.0,0.0,0.0,155992.0,0.0,155992.0
universo_automacao,2024-03,51000.0,0.0,0.0,51000.0,0.0,51000.0
universo_automacao,2024-04,264000.0,0.0,0.0,264000.0,0.0,264000.0
universo_automacao,2024-05,36515.0,0.0,0.0,36515.0,0.0,36515.0
universo_automacao,2024-06,159387.52,0.0,0.0,159387.52,0.0,159387.52
universo_automacao,2024-07,70815.0,0.0,0.0,70815.0,0.0,70815.0
universo_automacao,2024-08,104050.0,0.0,0.0,147050.0,0.0,147050.0
universo_automacao,2024-09,221570.0,0.0,0.0,221570.0,0.0,221570.0
universo_automacao,2024-10,187650.0,0.0,0.0,187650.0,0.0,187650.0
universo_automacao,2024-11,252622.4,0.0,0.0,263622.4,0.0,263622.4
universo_automacao,2024-12,122923.0,0.0,0.0,122923.0,0.0,122923.0
universo_automacao,2025-01,242249.25,0.0,0.0,242249.25,0.0,242249.25
universo_automacao,2025-02,138939.0,180641.87,180641.87,152607.0,0.0,-28034.869999999995
universo_automacao,2025-03,28600.0,163790.48,163790.48,28600.0,0.0,-135190.48
universo_automacao,2025-04,86389.6,313282.23,321101.23,90889.6,0.0,-230211.62999999998
universo_automacao,2025-05,358465.65,175280.8,175280.8,358465.65,10000.0,183184.85000000003
universo_automacao,2025-06,62152.0,281750.69,281750.69,62152.0,0.0,-219598.69
universo_automacao,2025-07,172189.17,187695.65,188305.65,209761.16999999998,0.0,21455.51999999999
universo_automacao,2025-08,181617.95,79214.95,79214.95,182417.95,0.0,103203.00000000001
universo_automacao,2025-09,135774.0,278906.1,336676.11,135774.0,0.0,-200902.11
universo_automacao,2025-10,368804.35,250604.65,251604.65,374831.85,0.0,123227.19999999998
universo_automacao,2025-11,93100.0,135745.04,135745.04,111600.0,0.0,-24145.040000000008
universo_automacao,2025-12,278514.5,148941.62,148941.62,278514.5,0.0,129572.88
universo_automacao,2026-01,117849.42,114712.81,114802.81,117849.42,0.0,3046.6100000000006
universo_automacao,2026-02,132058.45,231391.71,231391.71,132058.45,0.0,-99333.25999999998
universo_automacao,2026-03,111171.74,54083.84,54083.84,111171.74,0.0,57087.90000000001
universo_automacao,2026-04,304845.57,40399.78,40399.78,304845.57,0.0,264445.79000000004
universo_automacao,2026-05,235466.5,81343.64,81343.64,235466.5,0.0,154122.86
universo_automacao,2026-06,21695.0,343350.14,343350.14,21695.0,0.0,-321655.14
universo_automacao,2026-07,156204.96,165837.51,165837.51,156204.96,0.0,-9632.550000000017
