company_code,entry_type,period,count,amount
solucoes_eletronica,expense,2026-04,2,12354.00
solucoes_eletronica,expense,2026-05,2,6421.00
solucoes_eletronica,expense,2026-06,3,11400.00
solucoes_eletronica,expense,2026-08,1,4000.00
solucoes_eletronica,income,2026-03,2,23750.00
solucoes_eletronica,income,2026-04,1,7487.00
solucoes_eletronica,income,2026-05,5,36137.50
solucoes_eletronica,income,2026-06,1,5000.00
solucoes_eletronica,income,2026-07,1,2185.00
solucoes_eletronica,income,2026-08,1,2465.00
universo_automacao,expense,2025-02,47,180641.87
universo_automacao,expense,2025-03,55,163790.48
universo_automacao,expense,2025-04,57,313282.23
universo_automacao,expense,2025-05,50,175280.80
universo_automacao,expense,2025-06,84,281750.69
universo_automacao,expense,2025-07,74,187695.65
universo_automacao,expense,2025-08,38,79214.95
universo_automacao,expense,2025-09,64,278906.10
universo_automacao,expense,2025-10,77,250604.65
universo_automacao,expense,2025-11,72,135745.04
universo_automacao,expense,2025-12,38,148941.62
universo_automacao,expense,2026-01,41,114712.81
universo_automacao,expense,2026-02,52,231391.71
universo_automacao,expense,2026-03,12,54083.84
universo_automacao,expense,2026-04,21,40399.78
universo_automacao,expense,2026-05,42,81343.64
universo_automacao,expense,2026-06,60,343350.14
universo_automacao,expense,2026-07,50,165837.51
universo_automacao,expense,2026-08,7,11342.65
universo_automacao,expense,UNDATED,24,95253.57
universo_automacao,income,2022-06,1,2500.00
universo_automacao,income,2023-08,1,2500.00
universo_automacao,income,2023-09,4,22356.83
universo_automacao,income,2023-10,3,12500.00
universo_automacao,income,2023-11,11,218153.90
universo_automacao,income,2023-12,7,90878.05
universo_automacao,income,2024-01,12,64350.00
universo_automacao,income,2024-02,12,155992.00
universo_automacao,income,2024-03,3,51000.00
universo_automacao,income,2024-04,13,264000.00
universo_automacao,income,2024-05,7,36515.00
universo_automacao,income,2024-06,9,159387.52
universo_automacao,income,2024-07,11,70815.00
universo_automacao,income,2024-08,18,147050.00
universo_automacao,income,2024-09,14,221570.00
universo_automacao,income,2024-10,8,187650.00
universo_automacao,income,2024-11,20,263622.40
universo_automacao,income,2024-12,10,122923.00
universo_automacao,income,2025-01,16,242249.25
universo_automacao,income,2025-02,19,165301.50
universo_automacao,income,2025-03,7,28600.00
universo_automacao,income,2025-04,11,90889.60
universo_automacao,income,2025-05,32,358465.65
universo_automacao,income,2025-06,12,62152.00
universo_automacao,income,2025-07,21,209761.17
universo_automacao,income,2025-08,10,182417.95
universo_automacao,income,2025-09,13,135774.00
universo_automacao,income,2025-10,26,374831.85
universo_automacao,income,2025-11,10,111600.00
universo_automacao,income,2025-12,9,278514.50
universo_automacao,income,2026-01,6,117849.42
universo_automacao,income,2026-02,10,132058.45
universo_automacao,income,2026-03,12,111171.74
universo_automacao,income,2026-04,6,304845.57
universo_automacao,income,2026-05,12,235466.50
universo_automacao,income,2026-06,6,21695.00
universo_automacao,income,2026-07,10,156204.96
universo_automacao,income,2026-08,12,108848.84
universo_automacao,income,UNDATED,595,2250888.16
universo_eletronica,expense,2015-01,3,150000.00
universo_eletronica,expense,2015-04,3,26600.00
universo_eletronica,expense,2017-03,2,3390.00
universo_eletronica,expense,2022-01,1,2700.00
universo_eletronica,expense,2023-01,58,135321.90
universo_eletronica,expense,2023-02,43,105981.49
universo_eletronica,expense,2023-03,61,109390.86
universo_eletronica,expense,2023-04,54,97142.33
universo_eletronica,expense,2023-05,55,158778.27
universo_eletronica,expense,2023-06,43,111381.40
universo_eletronica,expense,2023-07,43,136312.67
universo_eletronica,expense,2023-08,49,122626.29
universo_eletronica,expense,2023-09,67,135205.96
universo_eletronica,expense,2023-10,51,125813.44
universo_eletronica,expense,2023-11,65,158982.59
