db,company,rowid,legacy_id,client,nfs,nfd,orcamento,data_fat_raw,data_venc_raw,amount,status,issue_original,due_original,issue_corrected,due_corrected,valid_original,expense_copy,total_summary,intercompany,recoverable,repair_rule,action
banco_empresa.db,universo_eletronica,19,19,AZIMULT,541,607,2125,18/01/2024,---,1187.5,PAGO,2024-01-18,,2024-01-18,2024-01-18,False,False,False,False,True,paid_missing_due=>issue,recover_date
banco_empresa.db,universo_eletronica,39,39,FIABESA,564,665,2023,16/02/2024,---,900.0,PAGO,2024-02-16,,2024-02-16,2024-02-16,False,False,False,False,True,paid_missing_due=>issue,recover_date
banco_empresa.db,universo_eletronica,81,81,TIGRE,599,SNF,3125,26/04/2024,22/05/0204,4500.0,PAGO,2024-04-26,,2024-04-26,2024-05-22,False,False,False,False,True,year_typo_204->2024,recover_date
banco_empresa.db,universo_eletronica,82,82,ALUMASA,600,SNF,4141,26/04/2024,---,1000.0,PAGO,2024-04-26,,2024-04-26,2024-04-26,False,False,False,False,True,paid_missing_due=>issue,recover_date
banco_empresa.db,universo_eletronica,106,106,POBRENE,624,806,4207,29/05/2024,---,700.0,PAGO,2024-05-29,,2024-05-29,2024-05-29,False,False,False,False,True,paid_missing_due=>issue,recover_date
banco_empresa.db,universo_eletronica,132,132,jamesson soft danfos,SEM NOTA,SNF,6342,25/06/2024,02/08/0202,3000.0,PAGO,2024-06-25,,2024-06-25,2024-06-25,False,False,False,False,True,paid_missing_due=>issue,recover_date
banco_empresa.db,universo_eletronica,137,137,NOTARO,649,809,5315,02/07/2024,---,1500.0,PAGO,2024-07-02,,2024-07-02,2024-07-02,False,False,False,False,True,paid_missing_due=>issue,recover_date
banco_empresa.db,universo_eletronica,282,282,FIABESA,774,1009,14770,02/01/2025,22/01/0205,2110.0,PAGO,2025-01-02,,2025-01-02,2025-01-22,False,False,False,False,True,year_typo_205->2025,recover_date
banco_empresa.db,universo_eletronica,326,326,ISOESTE,816,SNF,14882,11/02/2025,17/03/0202,3344.0,PAGO,2025-02-11,,2025-02-11,2025-02-11,False,False,False,False,True,paid_missing_due=>issue,recover_date
banco_empresa.db,universo_eletronica,369,369,ASA,863,1084,15091,16/04/2025,23/01/0001,2850.0,PAGO,2025-04-16,,2025-04-16,2025-04-16,False,False,False,False,True,paid_missing_due=>issue,recover_date
